protein	X6A_1	X6A_2	X6A_3	X6A_4	X6A_5	X6A_6	X6A_7	X6A_8	X6A_9	X6B_1	X6B_2	X6B_3	X6B_4	X6B_5	X6B_6	X6B_7	X6B_8	X6B_9	X6C_1	X6C_2	X6C_3	X6C_4	X6C_5	X6C_6	X6C_7	X6C_8	X6C_9
P37898	20.92455	21.01325	20.37156	20.38827	20.42716	20.46673	20.40945	20.58307	20.06802	21.226	21.05139	NaN	20.15413	20.25868	20.18132	20.29726	20.26865	20.25407	21.3308	21.30022	21.1795	19.88942	20.33123	20.22929	20.48483	20.45714	20.39446
P38009	20.33123	20.56551	20.98266	20.6063	20.44364	20.54038	20.48631	20.51307	20.60522	21.14898	20.57284	21.11908	20.51576	20.74181	20.61702	20.52984	20.53526	20.54265	NaN	21.18562	20.91925	20.31529	20.66882	20.49531	20.60449	20.56058	20.7536
P38011	25.53217	25.78694	25.78591	25.2844	25.50206	25.51671	25.3865	25.74673	25.59386	25.85296	25.96589	25.91182	25.50885	25.52307	25.57051	25.54115	25.73428	25.47621	25.45174	25.54516	25.74276	25.49488	25.41451	25.53017	25.60422	25.65758	25.49082
P38013	25.25209	25.65354	24.96213	25.85143	26.24608	26.13299	26.03128	25.94204	26.42555	25.254	25.2333	24.75903	26.30426	26.05329	26.27565	25.9608	25.84388	26.17648	NaN	24.90766	24.2169	26.04991	26.08722	26.04631	25.87916	26.17741	26.15167
P38061	26.10259	24.90724	25.36292	25.67517	25.82563	26.03511	25.86969	25.91059	25.47125	25.5047	25.58784	26.14548	25.87448	26.21876	26.02007	26.16565	25.68817	25.41571	25.03334	24.94673	25.96113	26.21784	26.21479	26.01191	25.97625	25.42918	25.59306
P38063;P38620	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.13099	NaN	NaN	NaN	NaN	NaN	NaN
P38069	16.93802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38071	NaN	NaN	NaN	17.91228	18.45736	18.39645	NaN	NaN	NaN	NaN	NaN	NaN	18.07588	18.27312	18.40728	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.5153	18.18916	NaN	NaN	NaN
P38074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.56845	NaN	NaN	NaN
P38075	NaN	NaN	NaN	18.23608	18.00569	18.37666	18.88661	19.25718	19.95333	NaN	NaN	NaN	17.75669	18.60917	17.8283	18.86786	19.77658	19.81082	NaN	NaN	NaN	18.3283	17.53594	17.24172	18.42288	19.03123	19.55067
P38077	19.24319	19.03599	18.98151	19.1603	19.30383	19.43596	NaN	NaN	NaN	NaN	19.49093	19.33427	18.93062	19.17163	19.24827	NaN	NaN	NaN	NaN	NaN	19.23813	19.05274	19.19075	19.23475	NaN	NaN	NaN
P38085	NaN	NaN	NaN	NaN	17.74116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.74301	17.78277	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.98326	NaN	NaN	NaN	NaN
P38086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.39037	20.15165	NaN	NaN	NaN	NaN	NaN	NaN
P38088	23.98676	24.19114	24.11243	24.08618	24.0573	24.17081	24.05664	24.38509	24.17821	24.81142	24.23674	24.29544	23.98763	24.12605	24.15058	24.0147	24.49662	24.26026	24.31202	24.17158	23.73686	23.99912	24.12108	24.29074	24.09184	24.46967	24.20903
P38112	NaN	NaN	NaN	NaN	17.9718	18.01258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.55525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.2616	17.22807	NaN	NaN	NaN	NaN
P38115	NaN	NaN	NaN	20.17414	20.11896	20.04247	20.10047	19.99065	NaN	NaN	NaN	NaN	NaN	19.87012	NaN	19.78536	20.00086	19.88289	NaN	NaN	NaN	NaN	19.7947	20.06224	19.95546	NaN	19.804
P38116	NaN	19.11324	NaN	18.6236	19.10147	NaN	18.7531	18.91978	18.72401	NaN	NaN	NaN	18.28938	NaN	NaN	18.81293	19.11482	18.99535	NaN	18.86822	NaN	18.47425	18.38982	18.91216	18.81127	18.81083	18.76966
P38121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.8538	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38130	NaN	NaN	NaN	18.73208	18.66	18.62153	18.84983	19.0834	18.88008	NaN	NaN	NaN	18.37895	18.28464	18.27635	19.00627	19.27027	19.01473	NaN	NaN	NaN	18.18549	18.24456	18.66341	18.86175	19.09867	18.98532
P38137	NaN	NaN	NaN	NaN	NaN	18.45487	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.26952	18.49428	NaN	NaN	NaN	NaN
P38143	20.28478	19.94892	20.29019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.21062	20.18386	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.16607	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.98501	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.84656
P38166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.60791
P38174	NaN	18.55749	NaN	18.53344	18.59765	18.66091	NaN	NaN	NaN	NaN	19.00144	NaN	18.74047	18.57902	18.32294	NaN	NaN	NaN	NaN	NaN	NaN	18.80303	18.65547	18.66945	NaN	NaN	NaN
P38181	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.57181	NaN	NaN	NaN	NaN
P38197	NaN	NaN	NaN	19.30111	19.23227	19.52963	NaN	NaN	NaN	NaN	NaN	NaN	19.29471	19.31429	19.821	NaN	NaN	NaN	NaN	NaN	NaN	19.05896	19.17553	18.99245	NaN	NaN	NaN
P38199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.99634
P38203	NaN	NaN	NaN	18.80483	18.83251	18.64751	18.16005	NaN	NaN	NaN	18.64878	NaN	18.47679	18.67969	18.56168	18.39197	18.53096	18.46439	NaN	NaN	NaN	18.31416	18.57104	18.36466	18.04985	18.84067	18.81691
P38205	21.60729	21.40088	21.29788	21.64676	21.61576	21.667	21.56104	21.81691	21.98068	21.71666	22.00443	21.99162	21.52745	21.29827	21.32169	21.83711	22.06444	21.78648	NaN	21.67435	21.73764	21.42198	21.38979	21.5426	21.83522	21.94489	21.86899
P38217	NaN	NaN	NaN	17.81027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.66136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.48542	17.61641	NaN	NaN	NaN
P38219	24.19528	24.29341	24.18609	23.80193	23.88045	23.9722	24.16177	24.07227	23.88558	24.44859	24.42374	24.69019	23.8102	23.9168	24.01248	24.09176	24.06645	23.92741	24.18911	24.46326	24.18457	23.9542	23.84403	23.94074	24.01555	24.03792	23.88651
P38221	NaN	25.0974	25.16963	23.74273	23.68357	23.77122	23.82958	23.7319	24.22162	25.16358	25.06558	25.14593	23.853	24.23878	24.1823	23.88716	23.88762	24.34143	24.37265	24.53047	24.95394	23.90931	23.93859	23.87455	24.27056	23.51965	24.02335
P38237	NaN	NaN	NaN	16.92428	16.56651	16.25695	NaN	NaN	NaN	NaN	NaN	NaN	16.17364	16.18986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38248	22.1884	NaN	NaN	22.66251	22.78782	23.09628	22.8476	22.91587	23.04835	23.81078	NaN	NaN	22.95493	22.79584	22.7986	22.77378	23.0052	22.64729	21.47462	NaN	NaN	22.78303	22.83233	23.06202	22.9096	22.92855	22.7453
P38249	22.69878	22.03187	22.31973	22.45641	22.51191	22.60962	23.03271	23.08936	23.18905	22.46326	22.66277	22.2029	22.45124	22.52188	22.63575	23.01728	23.28079	23.27113	22.55971	22.5046	22.09674	22.57545	22.51576	22.56291	23.06914	23.14646	23.105
P38250	NaN	20.47645	20.77072	19.95234	19.94392	19.97813	20.28794	20.45974	20.61369	20.02608	20.19689	20.75678	20.3756	20.38163	20.62961	20.26614	20.75898	20.40354	NaN	20.28951	NaN	20.45262	20.09584	20.19976	20.47398	20.1756	20.6375
P38256	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.76205	NaN	NaN	NaN
P38260	NaN	NaN	NaN	18.3676	17.96837	18.08343	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38264	NaN	22.66666	22.68964	23.30619	23.47048	23.21527	23.42803	23.74468	23.11167	22.31512	22.54286	22.87034	23.42995	23.29432	23.3507	23.49838	23.48136	23.76699	NaN	22.78017	23.34624	23.52504	23.28433	23.23522	23.50276	23.36946	23.58738
P38272	NaN	NaN	NaN	NaN	NaN	18.01154	NaN	18.04948	18.08078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.16575	18.05144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.86012
P38280	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.43675	NaN	NaN	NaN
P38281	NaN	NaN	NaN	17.96053	18.0568	17.78532	18.27617	18.79084	17.90283	NaN	NaN	NaN	17.92225	17.91818	17.95072	18.31637	18.24952	18.28532	NaN	NaN	NaN	17.81027	18.20017	18.14066	18.30198	18.42037	NaN
P38286	NaN	NaN	NaN	18.69299	19.12624	18.9839	19.17326	19.3438	19.33671	NaN	NaN	NaN	18.76617	19.09177	18.85303	19.14308	19.40077	19.0808	NaN	NaN	NaN	18.92027	18.80609	18.80936	19.01952	19.09435	19.16101
P38288	NaN	17.88131	18.25179	NaN	20.01509	20.13796	NaN	NaN	NaN	21.5173	NaN	NaN	19.70816	NaN	20.0551	NaN	NaN	NaN	NaN	NaN	21.25194	19.88901	20.12123	19.94635	NaN	NaN	NaN
P38295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.33481
P38328	NaN	NaN	NaN	18.69598	18.81297	18.79744	18.36833	18.7057	18.55255	NaN	NaN	NaN	18.49178	18.7183	18.50141	18.77436	18.54019	18.65323	NaN	NaN	NaN	18.74475	18.4997	18.90145	18.72896	18.60411	18.52041
P38333	NaN	NaN	NaN	18.85629	18.99275	18.91692	19.26737	NaN	18.94738	NaN	NaN	NaN	18.83917	18.75646	19.01463	19.48198	19.04756	19.29287	NaN	NaN	NaN	18.77536	19.08059	18.482	19.03765	NaN	19.02104
P38340	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.62649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38344	NaN	NaN	NaN	17.35191	17.1336	17.19777	NaN	NaN	NaN	NaN	NaN	NaN	17.48684	17.14031	17.33595	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.31186	17.12202	NaN	NaN	NaN
P38353	20.51768	18.82541	NaN	20.03644	20.06631	20.29547	19.94135	20.41018	20.32047	19.79268	NaN	NaN	20.18314	20.29827	20.25914	19.9281	20.32893	20.02675	NaN	NaN	NaN	20.22494	20.1107	20.0794	20.09507	20.52344	20.04727
P38426	19.14091	NaN	NaN	18.25797	18.60009	18.37581	NaN	18.58325	18.69105	NaN	NaN	NaN	18.66376	18.64983	18.90198	NaN	18.88828	18.69442	NaN	NaN	NaN	18.39536	18.40985	18.7575	NaN	18.77279	NaN
P38427	NaN	NaN	NaN	24.74576	24.67939	24.735	NaN	NaN	NaN	NaN	NaN	NaN	24.66747	NaN	24.7319	NaN	NaN	NaN	NaN	NaN	NaN	24.8457	25.0857	24.60671	NaN	NaN	NaN
P38431	22.58905	23.07051	22.84052	22.13038	22.33857	22.3083	22.58806	22.59174	22.51449	22.6723	22.88998	22.90976	22.31733	22.60302	22.35332	22.62185	22.76258	22.55408	23.07419	22.85247	22.8224	22.3007	22.29816	22.26084	22.43792	22.5276	22.34706
P38523	NaN	20.52066	20.81363	19.81802	19.80377	19.81419	20.34473	20.55487	20.24086	19.82195	20.73678	20.5603	19.80466	19.85763	20.00758	20.19653	20.02526	20.1561	NaN	20.37846	20.40302	19.82537	19.64095	19.77497	20.31163	20.15338	20.49931
P38555;P51996	NaN	20.0486	19.83248	19.90448	20.48089	20.31429	20.34798	20.59632	20.51239	NaN	19.18151	NaN	20.15277	20.19988	20.52879	20.18023	20.61639	20.56904	20.36335	20.54255	20.72717	20.18906	20.27219	20.51672	20.00457	20.41504	20.49082
P38616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.39833	NaN	NaN	NaN
P38623	NaN	NaN	NaN	18.71827	18.16246	18.19624	18.06102	17.99535	18.22473	NaN	NaN	NaN	18.31699	18.0261	18.37377	17.64216	17.77751	17.77308	NaN	NaN	NaN	17.94621	17.86556	17.90325	17.74957	18.02491	18.14335
P38624	NaN	20.30964	20.44162	18.37318	19.2255	19.14238	19.67719	19.15519	19.71651	20.2596	20.43756	20.24505	19.59583	19.12573	19.37186	19.71639	19.28496	19.66437	NaN	19.96367	NaN	19.30189	19.5856	19.29545	19.58943	19.0174	19.44948
P38625	24.40853	24.35252	24.70234	23.71743	23.77585	23.6903	23.75858	23.72609	23.81372	24.54392	24.57317	24.94806	23.85043	23.92823	23.83634	24.14911	23.63733	23.73273	22.89774	24.40957	24.59218	23.85946	23.86391	23.86788	23.84211	23.636	23.63644
P38626	21.00196	NaN	NaN	20.1706	20.56551	20.73008	20.45764	20.24679	20.35024	21.0555	NaN	NaN	20.49833	20.52047	20.54538	20.46633	20.46931	20.45071	NaN	NaN	NaN	20.25903	20.77652	20.39184	20.41833	20.04086	20.51663
P38627	NaN	NaN	NaN	17.34404	16.91637	16.98793	17.23154	17.55517	NaN	NaN	NaN	NaN	16.92451	16.98003	17.01433	NaN	NaN	16.86339	NaN	NaN	NaN	16.73754	16.55135	17.19191	17.00646	17.42661	17.37628
P38628	NaN	NaN	NaN	18.85821	19.12729	18.98674	NaN	NaN	NaN	NaN	NaN	NaN	18.74609	19.23393	18.9646	NaN	NaN	NaN	NaN	NaN	NaN	18.77562	18.765	18.81934	NaN	NaN	NaN
P38629	NaN	NaN	NaN	17.31778	17.40041	17.4537	NaN	NaN	NaN	NaN	NaN	NaN	17.3356	17.67604	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.67707	17.4146	17.4818	NaN	NaN	NaN
P38631;Q04952	21.56858	21.90632	22.27284	21.94978	22.1488	22.19141	22.00113	22.54109	22.35283	21.87965	21.76596	22.34329	21.88539	22.0111	21.93157	22.18607	22.53212	22.31921	22.34009	22.16438	22.25888	21.92034	21.98266	21.95127	22.00007	22.42767	22.13712
P38682	19.72888	20.29983	20.14843	19.81864	19.85308	19.82934	19.83533	19.87119	19.78341	NaN	NaN	20.48611	20.17548	20.0422	19.88195	19.76296	20.28387	20.07352	NaN	19.90314	19.68529	20.22565	20.15351	20.0547	19.79601	19.78374	19.52818
P38687	NaN	NaN	NaN	NaN	NaN	NaN	18.36982	18.60888	18.31128	NaN	NaN	NaN	NaN	NaN	NaN	18.36504	18.44164	18.65396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.7035	18.43567
P38688	NaN	NaN	NaN	18.66108	18.51472	18.71384	18.6447	19.55682	19.09184	NaN	NaN	NaN	18.28785	18.9157	18.78619	18.74278	19.56666	19.38117	NaN	NaN	NaN	18.19412	18.84089	18.63601	18.6236	19.52051	18.91669
P38689	20.29838	20.21869	20.33047	20.18265	20.13446	20.12111	20.38606	20.65788	20.46443	NaN	20.46633	20.42737	20.27196	20.10252	20.08018	20.12136	20.31141	20.55093	NaN	20.49365	20.19304	20.10993	20.07405	20.25003	20.23678	20.61297	20.58848
P38694	NaN	NaN	NaN	NaN	16.94146	16.81641	NaN	17.15561	NaN	NaN	NaN	NaN	NaN	16.71827	16.65298	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38697	NaN	NaN	NaN	19.23734	19.37624	19.26346	NaN	NaN	19.13701	NaN	NaN	NaN	19.29203	19.46718	19.46264	NaN	18.74468	18.91681	NaN	NaN	NaN	19.22699	19.47199	19.21043	NaN	NaN	19.01362
P38701	26.05784	25.73526	25.78449	26.09917	25.56168	25.93193	26.46516	26.59904	26.71908	25.49149	25.11446	25.528	26.18796	25.61034	25.82372	26.48939	26.47012	26.53746	26.48699	25.7636	25.77236	25.99296	25.61389	25.86957	26.50797	26.78469	26.39532
P38707	22.33721	22.41439	22.7784	23.66785	23.56848	23.53077	23.6699	23.8607	23.70967	22.54484	22.43138	22.98405	23.45626	23.71523	23.52755	23.62623	23.90692	23.64405	22.50766	22.77445	22.75144	23.28715	23.42547	23.46973	23.635	23.83374	23.76678
P38708	23.27242	23.3453	23.27725	23.56895	23.53112	23.67831	23.5064	23.76294	23.60139	23.29782	23.19949	23.61482	23.45375	23.6479	23.63345	23.48616	23.41351	23.51773	22.83248	22.95955	23.50385	23.51677	23.46563	23.45714	23.41041	23.74242	23.6279
P38712	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.69904	NaN	NaN	NaN	NaN
P38715	NaN	19.71942	19.18937	19.31345	19.47815	19.35561	19.57004	19.8074	19.91298	19.49463	19.41889	19.43835	19.03526	19.41386	19.14295	19.39952	19.87804	19.80022	NaN	19.37384	19.53403	18.93431	19.27064	19.32476	18.97601	19.66815	19.58294
P38719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.84224	17.60364	17.73019	NaN	NaN	NaN	NaN	NaN	NaN	17.92671	NaN	NaN	NaN	NaN	NaN
P38720;P53319	24.40847	24.3579	24.47141	24.00273	24.13453	24.10061	24.22015	24.23133	24.14336	24.56605	24.15962	24.67174	23.83817	23.98945	23.99947	24.16415	24.27427	24.04643	24.61678	24.44462	24.52725	24.15468	24.25789	24.227	24.10422	24.1949	24.09088
P38736	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.81498	NaN	NaN	NaN
P38755	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.07713	18.24214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.90935
P38764	21.20932	21.21235	21.35912	20.95383	21.02405	21.12805	21.2408	21.33985	21.53839	21.42905	21.54019	21.54571	21.28308	21.08265	21.07006	21.27213	21.88028	21.4093	21.68453	21.23555	21.10649	21.39027	21.12079	21.146	21.50393	21.21727	21.33068
P38765	17.5849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P38777	NaN	NaN	NaN	19.41848	19.19909	19.54284	19.07533	19.38389	19.01075	NaN	NaN	NaN	18.84347	19.03031	19.22567	18.66612	19.05065	19.16788	NaN	NaN	NaN	18.8502	18.68089	18.79192	19.00969	19.20206	18.98551
P38779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.13019	NaN	NaN	NaN
P38787	NaN	NaN	NaN	19.13603	19.10047	19.03341	19.27801	19.41485	19.3848	NaN	NaN	NaN	18.88346	18.69037	19.13789	19.16739	19.70887	19.78445	NaN	NaN	NaN	18.91823	18.86357	18.89531	18.86744	19.79398	19.54268
P38788	24.54174	24.12589	24.54675	23.88269	24.13751	24.18782	24.37073	24.60145	24.5291	24.72354	24.57571	24.59035	24.07398	24.24981	24.22516	24.44518	24.58067	24.55999	24.41261	24.53023	24.55824	24.22582	24.27391	24.14639	24.32169	24.60054	24.42438
P38789;Q12153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.09599	NaN	NaN	NaN
P38791	20.41101	18.91754	19.99645	21.64231	21.52009	21.52239	21.65097	21.57422	21.80813	20.42726	20.07326	20.5945	21.50436	21.46408	21.39482	21.31501	22.14034	22.02712	NaN	20.56449	19.06318	21.42552	21.30552	21.29849	21.80534	22.12044	21.8044
P38792	NaN	NaN	NaN	16.71947	16.88643	16.64414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.83133	16.75395	NaN	NaN	NaN	NaN	NaN	NaN	16.53775	16.96432	16.81503	NaN	NaN	NaN
P38793	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.41452	NaN
P38795	NaN	NaN	NaN	17.59259	17.64033	17.76843	NaN	NaN	NaN	NaN	NaN	NaN	17.5799	17.68469	17.74754	NaN	NaN	NaN	NaN	NaN	NaN	17.58182	17.52551	17.49178	NaN	NaN	NaN
P38804	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.16644	NaN	NaN	NaN	NaN	NaN	NaN
P38805	NaN	NaN	NaN	NaN	17.22421	17.32351	NaN	NaN	NaN	NaN	NaN	NaN	17.08161	17.07984	17.1448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.874	17.18756	NaN	NaN	NaN
P38817	NaN	NaN	NaN	19.83407	19.80213	19.8421	20.082	20.10354	20.15512	NaN	NaN	NaN	19.64511	19.86922	19.82501	20.07339	20.46663	20.07182	NaN	NaN	NaN	19.35011	19.87099	19.66108	19.77343	20.30586	20.28602
P38825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.8278	NaN	NaN	NaN
P38827	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.13144
P38828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.37467	NaN	NaN	NaN	NaN	NaN	NaN
P38840	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.53222	17.68948	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.33978	17.48393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.34299
P38845	21.09455	21.52071	21.46981	20.66075	20.74788	21.00902	21.31617	21.48454	21.78045	21.74972	21.2451	21.54298	20.75214	20.81777	20.93229	21.66058	21.45563	21.7563	21.5047	21.21798	21.2422	20.6375	21.11598	20.93481	21.55351	21.39535	21.63134
P38858	NaN	NaN	NaN	18.84003	18.90545	18.78568	19.3003	19.51622	19.31904	NaN	NaN	NaN	18.79579	18.82498	18.90442	19.06203	19.72356	19.2692	NaN	NaN	NaN	18.47718	18.80945	18.84644	19.28207	19.61551	19.20708
P38861	NaN	NaN	NaN	19.45748	19.47328	19.49473	19.76416	19.84107	20.27093	NaN	NaN	NaN	19.57171	19.40351	19.55704	19.59629	19.41726	19.82968	NaN	NaN	NaN	19.25942	19.42661	19.43661	19.60995	19.98106	20.1168
P38879	23.73034	23.8769	22.87177	24.55051	24.62171	24.42105	24.58806	24.36773	24.28235	23.67206	23.47122	23.8291	24.33708	24.6106	24.34834	24.60513	24.50288	24.21852	22.83636	23.94566	23.37451	24.27916	24.41442	24.33926	24.55169	24.47537	24.51575
P38882	NaN	NaN	NaN	23.8146	24.03959	23.84594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.90793	23.96129	NaN	NaN	NaN
P38883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.05197	NaN	NaN	NaN
P38885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.43814	NaN	NaN	NaN
P38886	NaN	NaN	NaN	18.97253	18.65225	18.89442	19.14049	18.65645	19.67249	NaN	NaN	NaN	18.9105	18.73846	18.71816	19.19751	19.18505	19.31227	NaN	NaN	NaN	18.83658	18.90033	18.52229	NaN	19.20588	NaN
P38891	21.5354	22.98397	22.58648	22.33941	21.96222	22.43018	21.80869	21.50237	21.36896	22.11965	22.44167	22.60091	22.09413	22.14448	22.05282	21.67185	21.593	21.37247	NaN	21.9008	21.79887	22.0653	22.19511	22.1076	21.74956	21.44096	21.63134
P38903	NaN	NaN	NaN	16.97958	17.2967	17.32334	NaN	NaN	NaN	NaN	NaN	NaN	16.87975	17.27758	17.40091	NaN	NaN	NaN	NaN	NaN	NaN	16.95844	17.21873	17.10718	NaN	NaN	NaN
P38910	NaN	20.09828	19.73404	22.89362	22.40294	22.40981	22.33358	22.43647	22.40546	NaN	19.70241	19.26609	22.62172	22.17694	22.54666	22.24165	22.2413	22.37743	20.30486	20.12288	19.67788	22.21653	22.25742	22.35966	22.0694	22.59796	22.54269
P38911	NaN	NaN	NaN	21.51099	21.28359	21.46304	21.17944	21.48227	21.62819	NaN	NaN	NaN	21.14115	21.35289	21.28478	21.0492	21.43863	21.26086	NaN	NaN	NaN	21.23736	21.14768	21.39163	21.25908	21.82745	21.6844
